alpha,E_avg,E_per_spin,M_avg_abs,M_per_spin,Cv_per_spin,chi_per_spin,acceptance_ratio
1.97,-2826.1,-1.76631,1472.65,0.920405,0.669961,0.313049,0.0721197
1.98,-2815.58,-1.75974,1468.31,0.917694,0.682193,0.329166,0.0743244
1.99,-2803.82,-1.75239,1462.87,0.914296,0.710591,0.363105,0.0768672
2,-2792.31,-1.7452,1457.69,0.911059,0.725586,0.395931,0.0792515
2.01,-2780.92,-1.73807,1452.34,0.907711,0.754121,0.431829,0.0817142
2.02,-2769.59,-1.73099,1447.38,0.904613,0.759084,0.444786,0.0842133
2.03,-2757.11,-1.7232,1441.49,0.900933,0.781661,0.47675,0.0869029
2.04,-2743.72,-1.71482,1434.82,0.896759,0.806896,0.529713,0.0896799
2.05,-2730.72,-1.7067,1428.46,0.892789,0.822192,0.561091,0.0926323
2.06,-2717.41,-1.69838,1421.06,0.88816,0.861979,0.680788,0.0956658
2.07,-2702.19,-1.68887,1413.07,0.88317,0.884933,0.719418,0.098911
2.08,-2689.85,-1.68116,1407.19,0.879492,0.894957,0.752048,0.101594
2.09,-2674.24,-1.6714,1398.2,0.873875,0.948504,0.866787,0.104996
2.1,-2660.13,-1.66258,1390.63,0.869144,0.956147,0.919871,0.108542
2.11,-2644.77,-1.65298,1381.96,0.863724,0.988104,1.03903,0.111795
2.12,-2627,-1.64188,1370.8,0.856748,1.03512,1.15799,0.115714
2.13,-2610.35,-1.63147,1360.7,0.85044,1.05828,1.29416,0.1193
2.14,-2592.5,-1.62031,1348.33,0.842709,1.11153,1.52672,0.123321
2.15,-2575.44,-1.60965,1336.78,0.835488,1.15534,1.78693,0.127302
2.16,-2555.94,-1.59746,1322.48,0.826552,1.1867,2.16537,0.13176
2.17,-2538.12,-1.58632,1311.15,0.81947,1.21734,2.22597,0.136041
2.18,-2517.29,-1.57331,1292.91,0.808066,1.30091,3.40896,0.14041
2.19,-2499.39,-1.56212,1281.78,0.801115,1.32275,2.92865,0.144568
2.2,-2475.86,-1.54742,1257.86,0.786165,1.38744,4.37946,0.150336
2.21,-2451.84,-1.5324,1234.95,0.771842,1.4753,5.54406,0.155808
2.22,-2428,-1.5175,1210.67,0.756667,1.541,6.46194,0.161539
2.23,-2400.28,-1.50018,1178.72,0.7367,1.61951,8.47398,0.167289
2.24,-2368.14,-1.48009,1130.03,0.706271,1.80825,13.9822,0.174539
2.25,-2343.31,-1.46457,1095.97,0.684984,1.87884,16.54,0.181464
2.26,-2310.01,-1.44376,1044.93,0.653079,1.93323,18.9516,0.18842
2.27,-2287.46,-1.42966,1021.61,0.638508,1.95232,19.8353,0.193847
2.28,-2244.63,-1.40289,937.28,0.5858,1.99818,24.5972,0.203299
2.29,-2220.66,-1.38791,909.884,0.568678,2.01689,25.9141,0.20963
2.3,-2184.9,-1.36556,830.605,0.519128,1.98596,30.284,0.217846
2.31,-2159.18,-1.34949,793.018,0.495637,2.00571,30.8721,0.224194
2.32,-2130.45,-1.33153,753,0.470625,1.85935,29.3442,0.23235
2.33,-2099.64,-1.31227,695.098,0.434436,1.81713,29.45,0.239062
2.34,-2068.61,-1.29288,620.904,0.388065,1.67442,28.8567,0.246206
2.35,-2043.68,-1.2773,576.974,0.360609,1.60451,28.3499,0.252537
2.36,-2018.48,-1.26155,532.35,0.332719,1.49138,26.1276,0.258664
